Join_ID,class,sum_class_code,sum_Area_SQUAREKILOMETERS,Polygon_Count
67,Residential,1.003095356562221,2.864821196069465,3
68,Residential,0.999614430831424,1.782493193098769,5
69,Residential,0.994415110148544,0.453775040106787,4
70,Residential,0.999780470098498,3.399028977103323,5
71,Residential,0.938689746061316,2.949145195047036,4
71,Residual Sub Area,4.063062024046721,0.288300018744428,2
72,Residential,0.997436310103815,3.336595992268131,5
73,Industrial,0.002380369667134,0.001522313889271,1
73,Residential,0.999113937154097,1.319457938774912,3
74,Residential,0.999229971666937,0.948924691075099,4
75,Industrial,0.001146999364553,0.000520236708762,2
75,Residential,0.997918182097639,0.453297555691229,3
76,Residential,0.367399288373571,1.675886672344490,5
77,Residential,1.008689464403904,6.850323686442612,8
78,Residential,1.000007857145538,0.686793813962853,6
79,Major Park,0.000764062974530,0.003892394414111,1
